Year	Magnitude 5+ Earthquakes in the Bay Area
1836	6.5
1838	6.8
1856	5.8
1856	5.8
1858	6.1
1861	5.8
1864	5.6
1864	5.9
1865	6.5
1865	6.5
1865	5.8
1866	5.9
1866	5.6
1866	5.6
1868	6.9
1870	5.6
1870	5.8
1881	6.1
1889	6
1890	6.3
1891	5.7
1892	6.4
1892	5.8
1892	5.8
1897	6.3
1898	6.3
1899	5.9
1902	5.9
1903	6.1
1903	6.1
1906	7.8
1910	5.8
1911	6.5
1926	6.3
1926	6.1
1926	6.1
1927	5.9
1955	5.8
1957	5.7
1961	5.9
1969	5.6
1969	5.7
1974	5
1979	5.7
1980	5.88
1980	5.8
1980	5.28
1984	6.2
1986	5.6
1986	5.4
1988	5
1989	7.2
1989	5
1990	5.4
2000	5
2000	5.4
2001	5.1
2002	5
2007	5.6
2014	6.02
